"","EXPSAMPLE_ACCESSION","FILE_INFO_ID","RESULT_SCHEMA"
"462","ES717987",703261,"PUBLIC REPOSITORY"
"463","ES717988",703261,"PUBLIC REPOSITORY"
"464","ES717989",703261,"PUBLIC REPOSITORY"
"465","ES717990",703261,"PUBLIC REPOSITORY"
"466","ES717991",703261,"PUBLIC REPOSITORY"
"467","ES717992",703261,"PUBLIC REPOSITORY"
"468","ES717993",703261,"PUBLIC REPOSITORY"
"469","ES717994",703261,"PUBLIC REPOSITORY"
"470","ES717995",703261,"PUBLIC REPOSITORY"
"471","ES717996",703261,"PUBLIC REPOSITORY"
"472","ES717997",703261,"PUBLIC REPOSITORY"
"473","ES717998",703261,"PUBLIC REPOSITORY"
"474","ES717999",703261,"PUBLIC REPOSITORY"
"475","ES718000",703261,"PUBLIC REPOSITORY"
"476","ES718001",703261,"PUBLIC REPOSITORY"
"477","ES718002",703261,"PUBLIC REPOSITORY"
"478","ES718003",703261,"PUBLIC REPOSITORY"
"479","ES718004",703261,"PUBLIC REPOSITORY"
"480","ES718005",703261,"PUBLIC REPOSITORY"
"481","ES718006",703261,"PUBLIC REPOSITORY"
"482","ES718007",703261,"PUBLIC REPOSITORY"
"483","ES718008",703261,"PUBLIC REPOSITORY"
"484","ES718009",703261,"PUBLIC REPOSITORY"
"485","ES718010",703261,"PUBLIC REPOSITORY"
"486","ES718011",703261,"PUBLIC REPOSITORY"
"487","ES718012",703261,"PUBLIC REPOSITORY"
"488","ES718013",703261,"PUBLIC REPOSITORY"
"489","ES718014",703261,"PUBLIC REPOSITORY"
"490","ES718015",703261,"PUBLIC REPOSITORY"
"491","ES718016",703261,"PUBLIC REPOSITORY"
"492","ES718017",703261,"PUBLIC REPOSITORY"
"493","ES718018",703261,"PUBLIC REPOSITORY"
"494","ES718019",703261,"PUBLIC REPOSITORY"
"495","ES718020",703261,"PUBLIC REPOSITORY"
"496","ES718021",703261,"PUBLIC REPOSITORY"
"497","ES718022",703261,"PUBLIC REPOSITORY"
"498","ES718023",703261,"PUBLIC REPOSITORY"
"499","ES718024",703261,"PUBLIC REPOSITORY"
"500","ES718025",703261,"PUBLIC REPOSITORY"
"501","ES718026",703261,"PUBLIC REPOSITORY"
"502","ES718027",703261,"PUBLIC REPOSITORY"
"503","ES718028",703261,"PUBLIC REPOSITORY"
"504","ES718029",703261,"PUBLIC REPOSITORY"
"505","ES718030",703261,"PUBLIC REPOSITORY"
"506","ES718031",703261,"PUBLIC REPOSITORY"
"507","ES718032",703261,"PUBLIC REPOSITORY"
"508","ES718033",703261,"PUBLIC REPOSITORY"
"509","ES718034",703261,"PUBLIC REPOSITORY"
"510","ES718035",703261,"PUBLIC REPOSITORY"
"511","ES718036",703261,"PUBLIC REPOSITORY"
"512","ES718037",703261,"PUBLIC REPOSITORY"
"513","ES718038",703261,"PUBLIC REPOSITORY"
"514","ES718039",703261,"PUBLIC REPOSITORY"
"515","ES718040",703261,"PUBLIC REPOSITORY"
"516","ES718041",703261,"PUBLIC REPOSITORY"
"517","ES718042",703261,"PUBLIC REPOSITORY"
"518","ES718043",703261,"PUBLIC REPOSITORY"
"519","ES718044",703261,"PUBLIC REPOSITORY"
"520","ES718045",703261,"PUBLIC REPOSITORY"
"521","ES718046",703261,"PUBLIC REPOSITORY"
"522","ES718047",703261,"PUBLIC REPOSITORY"
"523","ES718048",703261,"PUBLIC REPOSITORY"
"524","ES718049",703261,"PUBLIC REPOSITORY"
"525","ES718050",703261,"PUBLIC REPOSITORY"
"526","ES718051",703261,"PUBLIC REPOSITORY"
"527","ES718052",703261,"PUBLIC REPOSITORY"
"528","ES718053",703261,"PUBLIC REPOSITORY"
"529","ES718054",703261,"PUBLIC REPOSITORY"
"530","ES718055",703261,"PUBLIC REPOSITORY"
"531","ES718056",703261,"PUBLIC REPOSITORY"
"532","ES718057",703261,"PUBLIC REPOSITORY"
"533","ES718058",703261,"PUBLIC REPOSITORY"
"534","ES718059",703261,"PUBLIC REPOSITORY"
"535","ES718060",703261,"PUBLIC REPOSITORY"
"536","ES718061",703261,"PUBLIC REPOSITORY"
"537","ES718062",703261,"PUBLIC REPOSITORY"
"538","ES718063",703261,"PUBLIC REPOSITORY"
"539","ES718064",703261,"PUBLIC REPOSITORY"
"540","ES718065",703261,"PUBLIC REPOSITORY"
"541","ES718066",703261,"PUBLIC REPOSITORY"
"542","ES718067",703261,"PUBLIC REPOSITORY"
"543","ES718068",703261,"PUBLIC REPOSITORY"
"544","ES718069",703261,"PUBLIC REPOSITORY"
"545","ES718070",703261,"PUBLIC REPOSITORY"
"546","ES718071",703261,"PUBLIC REPOSITORY"
"547","ES718072",703261,"PUBLIC REPOSITORY"
"548","ES718073",703261,"PUBLIC REPOSITORY"
"549","ES718074",703261,"PUBLIC REPOSITORY"
"550","ES718075",703261,"PUBLIC REPOSITORY"
"551","ES718076",703261,"PUBLIC REPOSITORY"
"552","ES718077",703261,"PUBLIC REPOSITORY"
"553","ES718078",703261,"PUBLIC REPOSITORY"
"554","ES718079",703261,"PUBLIC REPOSITORY"
